시도교육청코드,시도교육청명,행정표준코드,학교명,식사코드,식사명,급식일자,급식인원수,요리명,원산지정보,칼로리정보,영양정보,수정일자
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20251118,1101.00,잡곡밥 (5)<br/>감자고추장찌개 (5.6.10.13)<br/>간장오리불고기 (5.6.13)<br/>볶음김치 (9.13)<br/>양념깻잎지 (9)<br/>파인애플 ,쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1227.0 Kcal,탄수화물(g) : 143.2<br/>단백질(g) : 45.8<br/>지방(g) : 49.5<br/>비타민A(R.E) : 199.8<br/>티아민(mg) : 0.8<br/>리보플라빈(mg) : 0.9<br/>비타민C(mg) : 52.4<br/>칼슘(mg) : 279.9<br/>철분(mg) : 6.4,20251116
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20251119,1101.00,불고기비빔밥 (5.6.10.13.18)<br/>미역된장국 (5.6)<br/>마카로니콘샐러드 (1.5.6.11.13)<br/>임연수카레구이 (2.5.6.12.13.16.18)<br/>총각김치 (9)<br/>농후발효유런 (2),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1190.0 Kcal,탄수화물(g) : 149.3<br/>단백질(g) : 61.7<br/>지방(g) : 36.3<br/>비타민A(R.E) : 164.4<br/>티아민(mg) : 1.1<br/>리보플라빈(mg) : 0.7<br/>비타민C(mg) : 12.3<br/>칼슘(mg) : 271.3<br/>철분(mg) : 10.3,20251116
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20251120,1101.00,빠네쇠고기스프 (2.5.6.13.16)<br/>토마토레드페퍼스파게티 (1.2.5.6.10.13.15.16)<br/>부추단무지무침 <br/>추억의경양식돈까스&소스 (1.2.5.6.10.12.13.16.18)<br/>오이김치 (9)<br/>레몬에너지음료 (13),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1313.2 Kcal,탄수화물(g) : 141.6<br/>단백질(g) : 30.1<br/>지방(g) : 70.8<br/>비타민A(R.E) : 204.1<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 54.0<br/>칼슘(mg) : 303.1<br/>철분(mg) : 3.7,20251116
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20251121,1101.00,차수수밥 <br/>짬뽕수제비국 (5.6.9.17)<br/>돈불고기&양배추쌈 (5.6.10.12.13)<br/>보쌈김치 (9)<br/>귤 <br/>돌김자반 (5),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,972.8 Kcal,탄수화물(g) : 120.5<br/>단백질(g) : 56.4<br/>지방(g) : 27.4<br/>비타민A(R.E) : 141.3<br/>티아민(mg) : 1.3<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 57.6<br/>칼슘(mg) : 229.2<br/>철분(mg) : 3.8,20251116
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20251124,1101.00,고추참치덮밥(김치) (5.6.9.12.13.16.18)<br/>들깨무채국 <br/>고구마튀김 (5.6)<br/>크리미양파치킨 (1.2.5.6.15)<br/>오이김치 (9)<br/>포도쥬스 (13),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1184.5 Kcal,탄수화물(g) : 179.6<br/>단백질(g) : 52.6<br/>지방(g) : 28.0<br/>비타민A(R.E) : 175.6<br/>티아민(mg) : 0.7<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 18.4<br/>칼슘(mg) : 224.9<br/>철분(mg) : 4.9,20251116
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20251125,1101.00,찰옥수수밥 <br/>꽃게해물찌개 (5.6.8.9.13.17.18)<br/>무쌈&쌈채소 <br/>훈제오리오븐구이&소스 (1.5.6.13)<br/>보쌈김치 (9)<br/>블루베리슈퍼100 (2),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1153.3 Kcal,탄수화물(g) : 141.0<br/>단백질(g) : 54.1<br/>지방(g) : 40.1<br/>비타민A(R.E) : 154.4<br/>티아민(mg) : 0.7<br/>리보플라빈(mg) : 1.0<br/>비타민C(mg) : 53.5<br/>칼슘(mg) : 352.0<br/>철분(mg) : 3.4,20251116
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20251126,1101.00,서리태밥 (5)<br/>나가사키짬뽕면 (5.6.9.10.12.13.15.17.18)<br/>알감자미트볼조림 (1.2.5.6.10.12.13.15.16)<br/>애플탕수육 (1.5.6.10.11.12.13)<br/>배추김치 (9)<br/>말랑스크림젤리 ,쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1514.3 Kcal,탄수화물(g) : 241.1<br/>단백질(g) : 55.1<br/>지방(g) : 37.5<br/>비타민A(R.E) : 207.0<br/>티아민(mg) : 0.8<br/>리보플라빈(mg) : 1.1<br/>비타민C(mg) : 37.6<br/>칼슘(mg) : 315.0<br/>철분(mg) : 15.7,20251116
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20251127,1101.00,귀리밥 <br/>쫄데기김치찌개 (5.9.10)<br/>버섯달걀장조림 (1.5.6.13)<br/>비름나물무침 (5.6.13.18)<br/>갈떡갈떡꼬치 (5.6.10.12.13.15.16)<br/>무말랭이김치 ,쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1249.3 Kcal,탄수화물(g) : 137.5<br/>단백질(g) : 60.9<br/>지방(g) : 48.7<br/>비타민A(R.E) : 268.8<br/>티아민(mg) : 1.9<br/>리보플라빈(mg) : 1.1<br/>비타민C(mg) : 11.6<br/>칼슘(mg) : 299.4<br/>철분(mg) : 14.1,20251116
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20251128,1101.00,강황밥 <br/>도토리묵채국(온) (5.6.9)<br/>감자채햄볶음 (1.2.5.6.10.15.16)<br/>등심스테이크&새싹 (5.6.10.13.18)<br/>오이김치 (9)<br/>골드키위 (13),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1000.7 Kcal,탄수화물(g) : 143.6<br/>단백질(g) : 63.8<br/>지방(g) : 17.2<br/>비타민A(R.E) : 140.8<br/>티아민(mg) : 1.6<br/>리보플라빈(mg) : 0.7<br/>비타민C(mg) : 177.0<br/>칼슘(mg) : 210.4<br/>철분(mg) : 5.6,20251116

